relative_path,class_id
002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,2
002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,2
012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0108_7937.jpg,12
012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0074_8452.jpg,12
012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0031_8456.jpg,12
